Category,Title,Price,Stock,URL
Graphics Cards,21279-MSI RTX 3050 Ventus 2X OC 6GB GDDR6,"Rs. 104,500",In Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20rtx%203050%20ventus%202x%20oc%206gb%20gddr6
Graphics Cards,35353-MSI Geforce RTX 5050 Shadow 2X OC 8GB GDDR7X,"Rs. 142,500",In Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20geforce%20rtx%205050%20shadow%202x%20oc%208gb%20gddr7x
Graphics Cards,35354-MSI Geforce RTX 5050 Ventus 2X OC 8GB GDDR7X,"Rs. 148,000",In Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20geforce%20rtx%205050%20ventus%202x%20oc%208gb%20gddr7x
Graphics Cards,35364-MSI Geforce RTX 5070 SHADOW 2X OC 12GB GDDR7X Graphic Card,"Rs. 297,000",In Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20geforce%20rtx%205070%20shadow%202x%20oc%2012gb%20gddr7x%20graphic%20card
Graphics Cards,20908-ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,"Rs. 196,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20geforce%20rtx%205060%20ti%208gb%20gddr7%20oc
Graphics Cards,20909-Asus Dual RTX 3050 8GB OC GDDR6,"Rs. 88,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20rtx%203050%208gb%20oc%20gddr6
Graphics Cards,21061-Gigabyte GeForce RTX 5060 Ti Windforce OC 8G,"Rs. 176,500",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/gigabyte%20geforce%20rtx%205060%20ti%20windforce%20oc%208g
Graphics Cards,21255-MSI Geforce RTX 5060 TI Shadow 2X OC Plus 8GB GDDR7X,"Rs. 202,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20geforce%20rtx%205060%20ti%20shadow%202x%20oc%20plus%208gb%20gddr7x
Graphics Cards,21256-MSI Geforce RTX 5060 TI Ventus 2X OC Plus 8GB GDDR7X,"Rs. 171,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20geforce%20rtx%205060%20ti%20ventus%202x%20oc%20plus%208gb%20gddr7x
Graphics Cards,21280-MSI RTX 3050 Ventus 2X XS 8GB OC GDDR6,"Rs. 137,500",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20rtx%203050%20ventus%202x%20xs%208gb%20oc%20gddr6
Graphics Cards,21281-MSI RTX 3060 12GB Ventus 2X OC GDDR6,"Rs. 170,500",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20rtx%203060%2012gb%20ventus%202x%20oc%20gddr6
Graphics Cards,21282-MSI RTX 5070 12G SHADOW 3X OC GRAPHICS CARD,"Rs. 265,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/msi%20rtx%205070%2012g%20shadow%203x%20oc%20graphics%20card
Graphics Cards,21293-PNY GeForce RTX 4060 8GB VERTO Dual Fan,"Rs. 122,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/pny%20geforce%20rtx%204060%208gb%20verto%20dual%20fan
Graphics Cards,32086-ZOTAC GAMING GeForce RTX 3050 6GB GDDR6,"Rs. 77,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/zotac%20gaming%20geforce%20rtx%203050%206gb%20gddr6
Graphics Cards,32438-ASUS CERBERUS GTX 1050TI 4GB OC,"Rs. 62,500",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20cerberus%20gtx%201050ti%204gb%20oc
Graphics Cards,32444-ASUS DUAL GEFORCE RTX 4060 8GB OC GDDR6,"Rs. 155,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20geforce%20rtx%204060%208gb%20oc%20gddr6
Graphics Cards,koko,"Rs. 105,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20rtx%202060%20evo%206gb%20oc
Graphics Cards,koko,"Rs. 120,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20rx%206700xt%2012gb
Graphics Cards,32455-ASUS Dual GeForce RTX 4070 12GB GDDR6,"Rs. 289,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20geforce%20rtx%204070%2012gb%20gddr6
Graphics Cards,32456-ASUS Dual GeForce RTX 5060 8GB GDDR7 OC Edition,"Rs. 155,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20geforce%20rtx%205060%208gb%20gddr7%20oc%20edition
Graphics Cards,32457-ASUS Dual GeForce RTX 5060 TI 16GB GDDR7 OC Graphics Card,"Rs. 240,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20dual%20geforce%20rtx%205060%20ti%2016gb%20gddr7%20oc%20graphics%20card
Graphics Cards,koko,"Rs. 63,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20ph-gtx1650-o4g%20graphic%20card
Graphics Cards,koko,"Rs. 75,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20phoenix%20gtx%201050ti%204gb
Graphics Cards,32512-ASUS PRIME Geforce RTX 5080 16GB GDDR7,"Rs. 564,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20prime%20geforce%20rtx%205080%2016gb%20gddr7
Graphics Cards,32538-ASUS PROART 4060 TI 16GB GDDR6 Graphic Cards,"Rs. 235,000",Out of Stock,https://www.chamacomputers.lk/products/graphics%20cards/asus%20proart%204060%20ti%2016gb%20gddr6%20graphic%20cards
