Source_Store,Category,Title,Price,Stock,URL
Galle Laptop,GPU,MSI GeForce RTX 3050 VENTUS 2X XS 8G OC,"Rs. 116,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO598
Galle Laptop,GPU,MSI GeForce RTX 3050 VENTUS 2X 6G OC,"Rs. 102,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO659
Galle Laptop,GPU,ASUS Dual GeForce RTX™ 5060 Ti 16GB GDDR7,"Rs. 279,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_I002677
Galle Laptop,GPU,MSI GeForce RTX 3060 VENTUS 2X 12G OC,"Rs. 160,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BLA1578
Galle Laptop,GPU,PNY GeForce RTX™ 5050 Dual Fan Graphics Card,"Rs. 142,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO640
Galle Laptop,GPU,MSI GeForce RTX™ 5050 8G VENTUS 2X OC,"Rs. 149,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BSC006
Galle Laptop,GPU,ZOTAC GAMING GeForce RTX 5060 Ti 8GB AMP,"Rs. 189,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BOT236
Galle Laptop,GPU,MSI GeForce RTX™ 5070 12G SHADOW 2X OC,"Rs. 284,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO1105
Galle Laptop,GPU,PNY GeForce RTX™ 5060 Overclocked Dual Fan GPU,"Rs. 148,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO430
Galle Laptop,GPU,MSI GeForce RTX™ 5060 Ti 8G VENTUS 2X OC PLUS,"Rs. 189,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO1091
Galle Laptop,GPU,ZOTAC GAMING GeForce RTX 5050 Twin Edge,"Rs. 127,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO863
Galle Laptop,GPU,PNY GeForce RTX 4060 Ti 8GB VERTO Overclocked Dual Fan,"Rs. 148,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjM=#Item_Code_:_BCO1580
Galle Laptop,CPU,Seagate Skyhwak 1TB  Surveillance Hard Disk,"Rs. 19,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjE=#Item_Code_:_BCO055
Galle Laptop,CPU,WD 2TB 'WD22PURZ' Purple Surveillance Hard Drive,"Rs. 45,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjE=#Item_Code_:_BCO053
Galle Laptop,CPU,Seagate Barracuda 1TB,"Rs. 30,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjE=#Item_Code_:_BCO170
Galle Laptop,Motherboard,Seagate One touch 2TB portable hard drive,"Rs. 46,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO043
Galle Laptop,Motherboard,Seagate Expansion 1 TB portable hard drive,"Rs. 34,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO102
Galle Laptop,Motherboard,WD My Book 6TB External Desktop Hard Drive Storage,"Rs. 67,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BLA634
Galle Laptop,Motherboard,SANDISK 'SDSSDE30' 1TB Portable SSD,"Rs. 56,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_I001652
Galle Laptop,Motherboard,Transcend's ESD270C 1TB Portable SSD,"Rs. 41,400.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BDO025
Galle Laptop,Motherboard,TRANSCEND STOREJET 25H3 2TB PORTABLE HARD DRIVES,"Rs. 48,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO115
Galle Laptop,Motherboard,Lexar SL500 1TB  Portable SSD,"Rs. 57,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO386
Galle Laptop,Motherboard,Samsung T7 Shield 1TB Portable SSD,"Rs. 54,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_I000900
Galle Laptop,Motherboard,WD My Passport 5TB USB 3.2 GEN 1,"Rs. 62,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BSU003
Galle Laptop,Motherboard,WD My Passport  4TB USB 3.2 GEN 1,"Rs. 56,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BLA960
Galle Laptop,Motherboard,WD My Passport 2TB USB 3.2 GEN 1,"Rs. 42,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_bLA001
Galle Laptop,Motherboard,WD My Passport 1TB USB 3.2 GEN 1,"Rs. 34,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO540
Galle Laptop,Motherboard,Transcend StoreJet 25H3 4TB Portable Hard Drives,"Rs. 58,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO980
Galle Laptop,Motherboard,WD 8TB  My Book External Desktop Hard Drive Storage,"Rs. 82,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO075
Galle Laptop,Motherboard,ADATA SD620 1TB External Solid State Drive,"Rs. 52,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_I000994
Galle Laptop,Motherboard,ADATA SD620 512GB External Solid State Drive,"Rs. 35,500.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_I000993
Galle Laptop,Motherboard,WD My Passport 6TB USB 3.2 GEN 1,"Rs. 58,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BLA1389
Galle Laptop,Motherboard,TRANSCEND STOREJET 25H3 1TB PORTABLE HARD DRIVES,"Rs. 28,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjI=#Item_Code_:_BCO042
Galle Laptop,RAM,Asus TUF Gaming K3 RGB Gaming Keyboard,"Rs. 32,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BKE108
Galle Laptop,RAM,MSI Vigor GK30 Gaming Keyboard,"Rs. 12,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BCO1094
Galle Laptop,RAM,Lenovo 300 USB Combo Keyboard and Mouse,"Rs. 6,950.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BLA1424
Galle Laptop,RAM,Lenovo Legion K310 RGB Gaming Keyboard,"Rs. 15,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BLA574
Galle Laptop,RAM,Legion M300s RGB Gaming Mouse,"Rs. 10,900.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BCO799
Galle Laptop,RAM,Lenovo 160 Wired Combo,"Rs. 5,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BCO1049
Galle Laptop,RAM,Logitech MK295 Silent Wireless Keyboard Mouse Combo,"Rs. 12,000.00",In Stock,https://www.gallelaptop.lk/products.php?ci=Mw==&sci=MjQ=#Item_Code_:_BCO659
