Title,Price,Stock,URL
HEATSINK PASTE THERMAL PASTE SMALL S,Rs:150.00or 3 XRs:56.00with,In Stock,https://mdcomputers.lk/product/heatsink-paste-thermal-paste-small-s/
SATA CABLE,Rs:200.00or 3 XRs:74.67with,In Stock,https://mdcomputers.lk/product/sata-cable/
cmos battery,Rs:200.00or 3 XRs:74.67with,In Stock,https://mdcomputers.lk/product/cmos-battery/
F-3 SMALL MOUSE PAD,Rs:500.00Rs:800.00or 3 XRs:186.67with,In Stock,https://mdcomputers.lk/product/lagitech-mouse-pad/
1.5M ALUMINIUM CAT6 CABLE,Rs:500.00or 3 XRs:186.67with,In Stock,https://mdcomputers.lk/product/network-cable-1-5m/
USB EXTENTION CABLE  ( 1.5M ),Rs:500.00or 3 XRs:186.67with,In Stock,https://mdcomputers.lk/product/usb-extention-cable-1-5m/
AUX CABLE ( 3.5mm ),Rs:500.00or 3 XRs:186.67with,In Stock,https://mdcomputers.lk/product/aux-cable-3-5mm/
STERIO TO 2RC 1.5M CABLE,Rs:500.00or 3 XRs:186.67with,In Stock,https://mdcomputers.lk/product/sterio-to-2rc-1-5m-cable/
USB PRINTER CABLE – 1.5M,"Rs:500.00Rs:1,000.00or 3 XRs:186.67with",In Stock,https://mdcomputers.lk/product/usb-printer-cable-1-5m/
POWER CABLE,Rs:700.00or 3 XRs:261.33with,In Stock,https://mdcomputers.lk/product/power-cable/
SILK GLIDING QIHE QH-8 MOUSE PAD,"Rs:750.00Rs:1,000.00or 3 XRs:280.00with",In Stock,https://mdcomputers.lk/product/silk-gliding-qihe-qh-8-mouse-pad/
VGA CABLE,Rs:800.00or 3 XRs:298.67with,In Stock,https://mdcomputers.lk/product/vga-cable/
DVI CABLE,Rs:800.00or 3 XRs:298.67with,In Stock,https://mdcomputers.lk/product/dvi-cable/
laptop power cable,Rs:800.00or 3 XRs:298.67with,In Stock,https://mdcomputers.lk/product/laptop-power-cable/
CP0146 LED STRIP POWER CONNECTOR PWM 1 TO 3,Rs:800.00or 3 XRs:298.67with,In Stock,https://mdcomputers.lk/product/led-strip-power-connector-pwm-1-to-3/
HDMI MALE TO FEMALE L’TYPE AGESTERBLE,Rs:800.00or 3 XRs:298.67with,In Stock,https://mdcomputers.lk/product/hdmi-male-to-female-ltype-agesterble/
ARGB Strip Power Connector 5V 1 To 4,Rs:900.00or 3 XRs:336.00with,In Stock,https://mdcomputers.lk/product/argb-strip-power-connector-5v-1-to-4/
USB 5.1 SOUND CARD 3D,"Rs:900.00Rs:1,000.00or 3 XRs:336.00with",In Stock,https://mdcomputers.lk/product/usb-5-1-sound-card-3d/
CON 402 – UGREEN 1M Cat 6 UTP NETWORK CABLE  – NW102 – 11201 – 1 Year Warranty,"Rs:900.00Rs:1,100.00or 3 XRs:336.00with",In Stock,https://mdcomputers.lk/product/con-402-ugreen-1m-cat-6-utp-network-cable-nw102-11201-1-year-warranty/
BASEUS SUPERIOR SERIES 0.25 METER FAST CHARGING DATA CABLE USB TO LIGHTNING 2.4A – WHITE ( CALYS-02 ),"Rs:990.00Rs:1,100.00or 3 XRs:369.60with",In Stock,https://mdcomputers.lk/product/baseus-superior-series-eries-0-25-meter-fast-charging-data-cable-usb-to-lightning-2-4a-white-calys-02/
BLUETOOTH ADAPTER,"Rs:1,000.00Rs:2,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/bluetooth-usb-dongel/
BIAZE DVI TO HDMI CONVERTER.,"Rs:1,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/dvi-to-dhmi-converter/
HDMI TO VGA CONVERTER,"Rs:1,000.00Rs:2,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/hdmi-to-vga/
1155/1150 INTEL CPU COOLER,"Rs:1,000.00Rs:1,200.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/1155-1150-intel-cpu-cooler/
USB PRINTER CABLE 3METER,"Rs:1,000.00Rs:1,500.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/usb-printer-cable-5-meter/
HDMI CABLE 1.5M ORGINAL,"Rs:1,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/hdmi-cable-1-5m-orginal/
MEETION M360 USB BRAND NEW WIRED MOUSE (6M),"Rs:1,000.00Rs:1,200.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/meetion-m360-usb-wired-mouse-6m/
SSD HDD SLIM CADDY 9.5MM,"Rs:1,000.00Rs:1,500.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/ssd-lap-hdd-slim-caddy/
DISPLAY CABLE ORIGINAL 1.8M (DP ),"Rs:1,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/display-cable-original-1-8m/
USB EXTENTION CABLE ( 3M ),"Rs:1,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/usb-extention-cable-3m/
3M USB PRINTER CABLE,"Rs:1,000.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/3m-usb-printer-cable/
DUAL RING TRANSPARENT RGB FAN,"Rs:1,000.00Rs:1,200.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/dual-ring-transparent-rgb-fan/
4K HDMI CABLE 1.5M,"Rs:1,000.00Rs:1,500.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/4k-hdmi-cable-1-5m/
SILK GLIDING L-18 MOUSE PAD,"Rs:1,000.00Rs:1,200.00or 3 XRs:373.33with",In Stock,https://mdcomputers.lk/product/silk-gliding-l-18-mouse-pad/
SSD HDD CADDY 12.7MM,"Rs:1,100.00Rs:1,500.00or 3 XRs:410.67with",In Stock,https://mdcomputers.lk/product/ssd-hdd-caddy-12-7mm/
Lb Link 150Mbps Wifi Adapter,"Rs:1,200.00Rs:1,800.00or 3 XRs:448.00with",In Stock,https://mdcomputers.lk/product/usb-wifi-adapters/
SATA ARGB MAIN CONTROLER HUB ADEPTER 5V 3PIN,"Rs:1,200.00or 3 XRs:448.00with",In Stock,https://mdcomputers.lk/product/sata-argb-main-controler-hub-adepter-5v-3pin/
CON339 – Baseus CAT 6 1m High Speed Six types of RJ45 Gigabit Network Cable  Black PCWL-B01 1 Year Warranty,"Rs:1,200.00or 3 XRs:448.00with",In Stock,https://mdcomputers.lk/product/con339-baseus-cat-6-1m-high-speed-six-types-of-rj45-gigabit-network-cable-black-pcwl-b01-1-year-warranty/
USB SOUND ADAPTER,"Rs:1,200.00or 3 XRs:448.00with",In Stock,https://mdcomputers.lk/product/usb-sound-adapter/
DISPLAY PORT TO HDMI CONVERTER,"Rs:1,200.00Rs:1,400.00or 3 XRs:448.00with",In Stock,https://mdcomputers.lk/product/display-port-to-hdmi-converter/
JEDEL K13 BRAND NEW OFFICE KAYBOARD,"Rs:1,300.00Rs:1,500.00or 3 XRs:485.33with",In Stock,https://mdcomputers.lk/product/k13-brand-new-keyboard/
K11 BRAND NEW KEYBOARD,"Rs:1,300.00Rs:1,500.00or 3 XRs:485.33with",In Stock,https://mdcomputers.lk/product/k11-brand-new-keyboard/
JEQANG JW-207 BT & 2.4G DUAL MODE WIRLESS MOUSE,"Rs:1,300.00Rs:1,650.00or 3 XRs:485.33with",In Stock,https://mdcomputers.lk/product/jeqang-jw-207-bt-2-4g-dual-mode-wirless-mouse/
ALCATROZ ASIC 3 (BLISTER) BLACK COMPUTER MOUSE,"Rs:1,300.00Rs:1,500.00or 3 XRs:485.33with",In Stock,https://mdcomputers.lk/product/alcatroz-asic-3-blister-black-computer-mouse/
RGB RUNNING FAN,"Rs:1,300.00Rs:1,500.00or 3 XRs:485.33with",In Stock,https://mdcomputers.lk/product/rgb-running-fan/
JYOCUN RJ45 JOINTER STEEL FTP,"Rs:1,350.00or 3 XRs:504.00with",In Stock,https://mdcomputers.lk/product/jyocun-rj45-jointer-steel-ftp/
AMIDA CANON 790 CYAN CARTRIDGE,"Rs:1,350.00or 3 XRs:504.00with",In Stock,https://mdcomputers.lk/product/amida-canon-790-cyan-cartridge-price-srilan/
AMIDA CANON 790 MAGENTA CARTRIDGE,"Rs:1,350.00or 3 XRs:504.00with",In Stock,https://mdcomputers.lk/product/amida-canon-790-magenta-cartridge/
AMIDA CANON 790 YELLOW CARTRIDGE,"Rs:1,350.00or 3 XRs:504.00with",In Stock,https://mdcomputers.lk/product/amida-canon-790-yellow-cartridge/
AMIDA EPSON T6643 MAGENTA CARTRIDGE,"Rs:1,350.00or 3 XRs:504.00with",In Stock,https://mdcomputers.lk/product/amida-epson-t6641-magenta-cartridge/
INTEL CORE I3 2ND GEN USED PROCESSOR,"Rs:1,400.00or 3 XRs:522.67with",In Stock,https://mdcomputers.lk/product/intel-ore-i3-2nd-gen-processor-used/
Meetion K100 Standard USB Wired Keyboard,"Rs:1,400.00Rs:1,800.00or 3 XRs:522.67with",In Stock,https://mdcomputers.lk/product/meetion-ak100-standard-usb-wired-keyboard/
MEETION R547 BRAND NEW WIRLESS MOUSE,"Rs:1,400.00Rs:2,400.00or 3 XRs:522.67with",In Stock,https://mdcomputers.lk/product/meetion-wireless-mouse-r547/
DVI TO HDMI CABLE 1.5M,"Rs:1,400.00or 3 XRs:522.67with",In Stock,https://mdcomputers.lk/product/dvi-to-hdmi-cable-1-5m/
Intel® Pentium® Processor G4400,"Rs:1,500.00Rs:3,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/intel-pentium-processor-g4400/
HDMI Y CABLE,"Rs:1,500.00Rs:2,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/hdmi-y-cable/
LCD LED TV Wall Mount Suitable FOR 14″-24,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/lcd-led-tv-wall-mount-suitable-for-14-24/
LARGE GAMING MOUSE PAD,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/large-gaming-mouse-pad/
FALCON F312 RGB RUNNINGFAN FRAME,"Rs:1,500.00Rs:1,600.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/loving-cool-ready-to-ship-hot-sale-pc-computer-case-fan-120mm-cooling-fan-rgb-cooler-fans/
ASSEMBLE PC,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/assemble-pc/
JEDEL M600 MINI SPEAKER,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/jedel-m600-mini-speaker/
LB-LINK BL-WN351 300MBPS WIFI ADAPTER,"Rs:1,500.00Rs:2,000.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/lb-link-300mbps-wifi-adapter/
MEETION M371 BRAND NEW GAMING MOUSE,"Rs:1,500.00Rs:2,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/meetion-m371-mouse/
LOGITECH B100 OPTICAL USB BRAND NEW MOUSE ( 02 years warranty ),"Rs:1,500.00Rs:2,000.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/logitech-b100-optical-usb-mouse-price-sri-l/
