Category,Title,Price,Stock,URL
Graphic Cards,USED MSI RADEON RX6600 MECH 2X 8GB VGA,"LKR 65,000.00",In Stock,https://www.mskcomputers.lk/graphic-card/used-msi-radeon-rx6600-mech-2x-8gb-vga
Graphic Cards,USED MSI VENTUS GTX1660 6GB SUPER VGA,"LKR 45,000.00",In Stock,https://www.mskcomputers.lk/graphic-card/used-msi-ventus-gtx1660-6gb-super-vga1
Graphic Cards,USED PALIT 1650 4GB VGA,"LKR 32,000.00",In Stock,https://www.mskcomputers.lk/graphic-card/used-pali-1650-4gb-vga
Graphic Cards,USED GALAX RTX2070 SUPER 8GB VGA,"LKR 65,000.00",In Stock,https://www.mskcomputers.lk/graphic-card/used-galax-rtx2070-super-8gb-vga
Graphic Cards,USED ASUS ROG STRIX 1080 8GB VGA,"LKR 59,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/used-asus-rog-strix-1080-8gb-vga
Graphic Cards,USED ASUS TUF GAMING 1660 SUPER 6GB,"LKR 42,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/used-asus-tuf-gaming-1660-super-6gb1
Graphic Cards,ASUS DUAL GTX 1060 3GB,"LKR 26,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/asus-dual-gtx-1060-3gb
Graphic Cards,USED PALIT 1050TI 4GB,"LKR 25,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/used-palit-1050ti-4gb
Graphic Cards,USED ASUS TUF GAMING 1660 SUPER 6GB WITH BOX,"LKR 45,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/used-asus-tuf-gaming-1660-super-6gb
Graphic Cards,USED GIGABYTE GTX1050TI 4GB VGA,"LKR 28,000.00",Out of Stock,https://www.mskcomputers.lk/graphic-card/used-gigabyte-gtx1050ti-4gb-vga
Processors,USED CORE I5 6500 6TH GEN PROCESSOR,"LKR 8,700.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i5-6500-6th-gen-processor
Processors,USED CORE I5 4590 4TH GEN PROCESSOR,"LKR 6,800.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i5-4590-4th-gen-processor
Processors,INTEL CORE ULTRA 7 PROCESSOR 270K (WITHOUT BOX & COOLER),"LKR 124,000.00",In Stock,https://www.mskcomputers.lk/processor/intel-core-ultra-7-processor-270k-without-box-cooler
Processors,INTEL CORE ULTRA 5 PROCESSOR 250K (WITHOUT BOX & COOLER),"LKR 85,000.00",In Stock,https://www.mskcomputers.lk/processor/intel-core-ultra-5-processor-250k-without-box-cooler
Processors,USED CORE I5 8500T 8TH GEN PROCESSOR,"LKR 22,000.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i5-8500t-8th-gen-processor
Processors,AMD RYZEN 9 7900X3D PROCESSOR ( WITHOUT COOLER & BOX ),"LKR 132,500.00",In Stock,https://www.mskcomputers.lk/processor/amd-ryzen-9-7900x3d-processor-without-cooler-box
Processors,USED CORE I5 9600 9TH GEN PROCESSOR,"LKR 26,000.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i5-9600-9th-gen-processor
Processors,USED CORE I7 10700F 10TH GEN PROCESSOR,"LKR 55,000.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i7-10700f-10th-gen-processor
Processors,USED CORE I3 4TH GEN PROCESSOR,"LKR 2,500.00",In Stock,https://www.mskcomputers.lk/processor/used-core-i3-4th-gen-processor-uproc092
Processors,RYZEN 9 9950X 3D PROCESSOR ( WITHOUT BOX & COOLER ),"LKR 225,000.00",In Stock,https://www.mskcomputers.lk/processor/ryzen-9-9950x-3d-processor-without-box-cooler
Processors,AMD RYZEN 5 5500X 3D PROCESSOR TRAY ( WITHOUT BOX ),"LKR 65,000.00",In Stock,https://www.mskcomputers.lk/processor/amd-ryzen-5-5500x-3d-processor-tray-without-box
Processors,INTEL CORE ULTRA 5 225 PROCESSOR,"LKR 67,000.00",In Stock,https://www.mskcomputers.lk/processor/intel-core-ultra-5-225-processor
RAM,USED DDR4 8GB DESKTOP RAM 2133/2400/2666MHz,"LKR 13,200.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr4-8gb-desktop-ram-2133-2400-2666mhz
RAM,USED DDR3 8GB DESKTOP RAM 1333/1600MHz,"LKR 5,800.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr3-8gb-desktop-ram-1333-1600mhz
RAM,USED DDR3 4GB 1600MHz DESKTOP RAM,"LKR 3,800.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr3-4gb-1600mhz-desktop-ram
RAM,USED DDR3 2GB DESKTOP RAM 1333 MHz,"LKR 1,000.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr3-2gb-desktop-ram-1333-mhz
RAM,USED DDR4 16GB 2400/2666MHZ LAPTOP RAM,"LKR 19,500.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr4-16gb-2133-2400-2666mhz-laptop-ram
RAM,USED DDR4 8GB 3200MHZ LAPTOP RAM,"LKR 15,500.00",In Stock,https://www.mskcomputers.lk/memory-ram/used-ddr4-8gb-3200mhz-laptop-ram
