Title,Price,Stock,URL
Asus ROG Astral LC GeForce RTX 5090 32GB GDDR7,"1,569,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7
ASUS ROG Geforce RTX 5090 Astral 32GB GDDR7,"1,435,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-geforce-rtx-5090-astral-32gb-gddr7
ASUS TUF Gaming Geforce RTX 5080 16GB GDDR7,"629,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5080-16gb-gddr7
ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition,"679,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-geforce-rtx-5080-16gb-gddr7-oc-edition
ASUS Prime GeForce RTX 5070 Ti 16GB OC GDDR7,"464,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-ti-16gb-oc-gddr7
Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC,"299,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5070-12gb-gddr7-oc
ASUS Dual GeForce RTX 5070 12GB GDDR7 OC,"320,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5070-12gb-gddr7-oc
Asus PRIME GeForce RTX 5070 12GB GDDR7 OC,"269,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-12gb-gddr7-oc
ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,"192,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc
ASUS TUF Gaming GeForce RTX 5060 Ti 16GB GDDR7,"225,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-ti-16gb-gddr7
ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7,"279,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7
ASUS PRIME RTX 5060 8GB OC,"162,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-rtx-5060-8gb-oc
