Category,Title,Price,Stock,URL
Graphics Card,Asus ROG Astral LC GeForce RTX 5090 32GB GDDR7,"1,569,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7
Graphics Card,ASUS ROG Geforce RTX 5090 Astral 32GB GDDR7,"1,435,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-geforce-rtx-5090-astral-32gb-gddr7
Graphics Card,ASUS TUF Gaming Geforce RTX 5080 16GB GDDR7,"629,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5080-16gb-gddr7
Graphics Card,ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition,"679,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-geforce-rtx-5080-16gb-gddr7-oc-edition
Graphics Card,ASUS Prime GeForce RTX 5070 Ti 16GB OC GDDR7,"464,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-ti-16gb-oc-gddr7
Graphics Card,Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC,"299,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC,"320,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,Asus PRIME GeForce RTX 5070 12GB GDDR7 OC,"269,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,"192,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc
Graphics Card,ASUS TUF Gaming GeForce RTX 5060 Ti 16GB GDDR7,"225,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-ti-16gb-gddr7
Graphics Card,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7,"279,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7
Graphics Card,ASUS PRIME RTX 5060 8GB OC,"162,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-rtx-5060-8gb-oc
Processor,AMD Ryzen™ 5 3400G (Up To 4.2GHz Cores 4 - Threads 8) 4M Cache,"27,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-5-3400g-up-to-42ghz-cores-4-threads-8-4m-cache
Processor,"Intel® Core™ Ultra 7 270K Plus (36M Cache, up to 5.50 GHz)","118,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-ultra-7-270k-plus-36m-cache-up-to-550-ghz
Processor,AMD Ryzen 5 5500 (up to 4.2Ghz 6-cores 12-threads) 16M Cache,"36,500 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-5-5500-up-to-42ghz-6-cores-12-threads-16m-cache
Processor,AMD RYZEN 7 5700X (UP TO 4.6GHZ 8-CORES 16-THREADS) 36M CACHE,"58,000 LKR",Out of Stock,https://www.nanotek.lk/product/amd-ryzen-7-5700x-up-to-46ghz-8-cores-16-threads-36m-cache
Processor,"INTEL CORE I5-12400F (18M CACHE, UP TO 4.40 GHZ)","55,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-12400f-18m-cache-up-to-440-ghz
Processor,"INTEL CORE I5-12400 (18M CACHE, UP TO 4.40 GHZ)","72,000 LKR",Out of Stock,https://www.nanotek.lk/product/intel-core-i5-12400-18m-cache-up-to-440-ghz
Processor,"INTEL CORE I5 14400F (20M CACHE, UP TO 4.70 GHZ)","56,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-14400f-20m-cache-up-to-470-ghz
Processor,"INTEL CORE I5 14400 (20M CACHE, UP TO 4.70 GHZ)","59,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-14400-20m-cache-up-to-470-ghz
Processor,"Intel® Core™ Ultra 5 Processor 225 (20M Cache, up to 4.90 GHz)","59,500 LKR",In stock,https://www.nanotek.lk/product/intel-core-ultra-5-processor-225-20m-cache-up-to-490-ghz
Processor,"INTEL CORE I7 14700F (33M CACHE, UP TO 5.40 GHZ)","109,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i7-14700f-33m-cache-up-to-540-ghz
Processor,AMD RYZEN 7 9850X3D (UP TO 5.6 GHZ 8-CORES 16-TREADS ) 96M CACHE,"169,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9850x3d-up-to-56-ghz-8-cores-16-treads-96m-cache
Processor,AMD Ryzen 7 9800X3D (Up to 5.2 GHz 8-Cores 16-Treads ) 96M Cache,"145,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-7-9800x3d-up-to-52-ghz-8-cores-16-treads-96m-cache
Motherboards,ASUS ROG MAXIMUS Z890 HERO,"263,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-maximus-z890-hero
Motherboards,ASUS ROG STRIX X870E-H GAMING WIFI 7,"199,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-x870e-h-gaming-wifi-7
Motherboards,ASUS ROG STRIX B860-F GAMING WIFI DDR5,"116,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-f-gaming-wifi-ddr5
Motherboards,ASUS ROG STRIX B860-A GAMING WIFI DDR5,"102,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-strix-b860-a-gaming-wifi-ddr5
Motherboards,ASUS TUF GAMING B550M-PLUS  DDR4,"72,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-b550m-plus-ddr4
Motherboards,ASUS TUF GAMING B550-PLUS DDR4,"76,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-b550-plus-ddr4
Motherboards,ASUS ROG STRIX Z790-A GAMING WIFI D4,"122,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-z790-a-gaming-wifi-d4
Motherboards,ASUS PRIME Z890M-PLUS WIFI-CSM,"109,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-z890m-plus-wifi-csm
Motherboards,ASUS PRIME A620M-K,"36,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-a620m-k
Motherboards,ASUS ProArt B760-CREATOR,"73,000 LKR115,000 LKR",In Stock,https://www.nanotek.lk/product/asus-proart-b760-creator
Motherboards,ASUS PRIME B760M-A WIFI D5,"63,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-b760m-a-wifi-d5
Motherboards,ASUS PRIME H510M-K R.20,"36,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-h510m-k-r20
