Source_Store,Category,Title,Price,Stock,URL
Red Tech,GPU,MSI RTX 5060 Gaming OC 8GB GDDR7 Graphics Card,"LKR165,000.00",In Stock,https://redtech.lk/product/msi-rtx-5060-gaming-oc-8gb-gddr7-graphics-card/
Red Tech,GPU,MSI RTX 5050 Gaming OC 8GB GDDR7 Graphic Card,"LKR136,000.00",In Stock,https://redtech.lk/product/msi-rtx-5050-gaming-oc-8gb-gddr7-graphic-card/
Red Tech,GPU,ZOTAC RTX 5050 TWIN EDGE 8GB GDDR6 Graphic Card,"LKR127,500.00",In Stock,https://redtech.lk/product/zotac-rtx-5050-8g-twin-edge-gddr6-graphic-card/
Red Tech,GPU,MSI GeForce RTX 3050 VENTUS 2X XS 8GB OC Graphics Card,"LKR103,000.00",In Stock,https://redtech.lk/product/coming-soon-msi-geforce-rtx-3050-ventus-2x-xs-8gb-oc-graphics-card/
Red Tech,GPU,ZOTAC Gaming RTX 3050 ECO 8GB Graphics Card,"LKR99,000.00",In Stock,https://redtech.lk/product/zotac-gaming-rtx-3050-eco-8gb-graphics-card/
Red Tech,GPU,ASUS DUAL GeForce RTX 3050 V2 8GB GDDR6  Graphics Card,"LKR99,000.00",In Stock,https://redtech.lk/product/asus-dual-rtx-3050-v2-8gb-gddr6-oc-graphics-card/
Red Tech,GPU,ASUS DUAL GeForce RTX 3050 6GB GDDR6 Graphics Card,"LKR84,500.00",In Stock,https://redtech.lk/product/asus-dual-geforce-rtx-3050-6gb-gddr6-graphics-card/
Red Tech,GPU,[USED] BRANDED GTX 970 4GB Graphics Card,"LKR29,900.00",In Stock,https://redtech.lk/product/used-branded-gtx-970-4gb-graphics-card/
Red Tech,GPU,[USED] BRANDED GTX 660 2GB Graphics Card,"LKR13,900.00",In Stock,https://redtech.lk/product/used-branded-gtx-660-2gb-graphics-card/
Red Tech,GPU,JEYI Graphic Card GPU Brace Support,"LKR2,500.00",In Stock,https://redtech.lk/product/jeyi-graphic-card-gpu-brace-support/
Red Tech,GPU,ZOTAC RTX 5090 32G AMP EXTREME INFINITY GDDR6X Graphic Card,"LKR975,000.00",In Stock,https://redtech.lk/product/zotac-rtx-5090-32g-amp-extreme-infinity-gddr6x-graphic-card/
Red Tech,GPU,MSI Geforce RTX 5080 Gaming Trio OC 16GB GDDR7X Graphic Card,"LKR636,000.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5080-gaming-trio-oc-16gb-gddr7x-graphic-card/
Red Tech,GPU,ASUS PROART GeForce RTX 4080 16GB GDDR6X Graphics Card,"LKR585,000.00",In Stock,https://redtech.lk/product/asus-proart-rtx-4080-16gb-gddr6x-graphics-card/
Red Tech,GPU,ZOTAC GAMING GeForce RTX 4080 SUPER AMP 16GB GDDR6X Graphics Card,"LKR459,000.00",In Stock,https://redtech.lk/product/order-now-zotac-gaming-geforce-rtx-4080-super-amp-16gb-gddr6x-graphics-card/
Red Tech,GPU,MSI GeForce RTX 5070 Ti VENTUS 3X OC 16GB GDDR7X Graphic Card,"LKR434,500.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5070-ti-16g-ventus-3x-oc-graphic-card/
Red Tech,GPU,MSI GeForce RTX 4070 Super 12GB Gaming X Slim GDDR6X Graphic Card,"LKR350,500.00",In Stock,https://redtech.lk/product/order-now-msi-rtx-4070-super-12gb-gaming-x-slim-gddr6x-graphic-card/
Red Tech,GPU,MSI GeForce RTX 4070 Ti VENTUS 3X E1 12GB OC GDDR6X Graphic Card,"LKR344,500.00",In Stock,https://redtech.lk/product/order-now-msi-rtx-4070-ti-ventus-3x-12gb-gddr6x-graphic-card/
Red Tech,GPU,ASUS PROART GeForce RTX 4070 12GB GDDR6X Graphics Card,"LKR314,000.00",In Stock,https://redtech.lk/product/order-now-asus-proart-rtx-4070-12gb-gddr6x-graphics-card/
Red Tech,GPU,MSI GeForce RTX 4070 Gaming X Slim 12GB Graphics Card,"LKR308,000.00",In Stock,https://redtech.lk/product/msi-rtx-4070-gaming-x-slim-12gb-graphics-card/
Red Tech,GPU,MSI GeForce RTX 4070 Super 12GB Gaming X Slim White GDDR6X Graphic Card,"LKR286,500.00",In Stock,https://redtech.lk/product/order-now-msi-rtx-4070-super-12gb-gaming-x-slim-white-gddr6x-graphic-card/
Red Tech,GPU,MSI GeForce RTX 5070 12G GAMING TRIO OC GDDR7X Graphic Card,"LKR277,500.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5070-12g-gaming-trio-oc-graphic-card/
Red Tech,GPU,MSI GeForce RTX 4070 Super 12GB Ventus 2X OC GDDR6X Graphic Card,"LKR276,000.00",In Stock,https://redtech.lk/product/order-now-msi-rtx-4070-super-12gb-ventus-2x-oc-gddr6x-graphic-card/
Red Tech,GPU,MSI GeForce RTX 5070 VENTUS 2X OC 12GB GDDR7X Graphic Card,"LKR259,000.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5070-12g-ventus-2x-oc-gddr7x-graphic-card/
Red Tech,GPU,MSI GeForce RTX 5070 SHADOW 2X OC 12GB GDDR7X Graphic Card,"LKR247,500.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5070-12g-shadow-2x-oc-gddr7x-graphic-card/
Red Tech,GPU,MSI RTX 5060 TI Shadow 2X Plus 16GB GDDR7 Graphics Card,"LKR193,000.00",In Stock,https://redtech.lk/product/msi-rtx-5060-ti-shadow-2x-plus-16gb-gddr7-graphics-card/
Red Tech,GPU,MSI GeForce RTX 5060 TI 8GB Gaming Trio OC GDDR7X Graphic Card,"LKR192,500.00",In Stock,https://redtech.lk/product/msi-geforce-rtx-5060-ti-8gb-gaming-trio-oc-gddr7x-graphic-card/
Red Tech,GPU,MSI RTX 5060 TI Ventus 2X OC Plus 8GB GDDR7 Graphics Card,"LKR171,000.00",In Stock,https://redtech.lk/product/msi-rtx-5060-ti-ventus-2x-oc-plus-8gb-gddr7-graphics-card/
Red Tech,GPU,MSI RTX 5060 TI Shadow 2X OC 8GB GDDR7 Graphics Card,"LKR165,000.00",In Stock,https://redtech.lk/product/msi-rtx-5060-ti-shadow-2x-oc-8gb-gddr7-graphics-card/
