Category,Title,Price,Stock,URL
Graphics Card,"Graphics CardGigabyte Radeon RX 9060 XT GAMING 16GB Graphic Card240,000+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/gigabyte-radeon-rx-9060-xt-gaming-16gb-graphic-card
Graphics Card,"Graphics CardGigabyte GeForce RTX™ 5050 OC Low Profile 8G Graphic Card133,000+ Add to CartIn Stock - System Only",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-geforce-rtx-5050-oc-low-profile-8g-graphic-card
Graphics Card,"Graphics CardGigabyte GeForce RTX 5060 Ti WINDFORCE OC 8G Graphic Card179,000+ Add to CartOut of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-geforce-rtx-5060-ti-windforce-oc-8g-graphic-card
Graphics Card,"Graphics CardGigabyte AORUS GeForce RTX 5080 Master ICE 16G Graphics Card545,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-aorus-geforce-rtx-5080-master-ice-16g-graphics-card
Graphics Card,"Graphics CardGigabyte GeForce RTX 5070 AERO OC 12G Graphics Card275,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-geforce-rtx-5070-aero-oc-12g-graphics-card
Mouse,"MouseMKESPN X10 9 Buttons RGB Gaming Mouse4,400+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/mkespn-x10-9-buttons-rgb-gaming-mouse
Mouse,"MouseGenius X-G200 USB Red LED Gaming Mouse2,250+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/genius-x-g200-usb-red-led-gaming-mouse
Mouse,"MouseArmaggeddon Scorpion 3 Gaming Mouse4,300+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/armaggeddon-scorpion-3-gaming-mouse
Mouse,"MouseLogitech M187 Mini Wireless Mouse5,000+ Add to CartOut of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/logitech-m187-mini-wireless-mouse
Mouse,"MouseAlcatroz Airmouse Wireless Optical Mouse2,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/alcatroz-airmouse-wireless-optical-mouse
Mouse,"MouseMicroPack MP-730WT Bluetooth And 2.4Ghz Wireless Mouse4,500+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/micropack-mp-730wt-bluetooth-and-24ghz-wireless-mouse
Mouse,MouseAlcatroz Asic 3 USB Optical Mouse950+ Add to CartOut Of Stock,N/A,Out of Stock,https://www.redlinetech.lk/product/alcatroz-asic-3-usb-optical-mouse
Laptops,"LaptopsHP VICTUS 15-FA2013DX Core i5 RTX 3050 6GB304,000+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/hp-victus-15-fa2013dx-core-i5-rtx-3050-6gb-1
Laptops,"LaptopsLenovo V15 G5 IRL Core i5 13th GEN Laptop226,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/lenovo-v15-g5-irl-core-i5-13th-gen-laptop
Laptops,"LaptopsASUS Vivobook F1504VA 15.6 FHD CORE 5 Laptop214,000+ Add to CartOut of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-vivobook-f1504va-156-fhd-core-5-laptop
Laptops,"LaptopsDELL DC15250 15″ FHD Touch Screen Core I7 Laptop274,500+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/dell-dc15250-15-fhd-touch-screen-core-i7-laptop
Laptops,"LaptopsHP 15-fC0057WM 15.6-inch, FHD Touch RYZEN 7 Laptop228,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/hp-15-fc0057wm-156-inch-fhd-touch-ryzen-7-laptop
Laptops,"LaptopsMSI Venture 14 AI A1MG 2.8K OLED Ultra 7 Laptop355,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/msi-venture-14-ai-a1mg-28k-oled-ultra-7-laptop
Laptops,"LaptopsAcer Aspire 7 Intel Core i5 RTX 3050 Gaming Laptop219,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/acer-aspire-7-intel-core-i5-rtx-3050-gaming-laptop
Laptops,"LaptopsASUS Zenbook UX3407Q 14″ OLED Laptop285,000295,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-zenbook-ux3407q-14-oled-laptop
Laptops,"LaptopsASUS TUF Gaming F16 FX607V Core 5 RTX 3050 Gaming Laptop299,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-tuf-gaming-f16-fx607v-core-5-rtx-3050-gaming-laptop
Asus,"ASUSASUS ROG Strix G615J Core i9 RTX 5060 Laptop677,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-rog-strix-g615j-core-i9-rtx-5060-laptop
Asus,"ASUSASUS Vivobook X1404VA 14.0 FHD Core 5 Laptop188,000+ Add to CartOut of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-vivobook-x1404va-140-fhd-core-5-laptop
Asus,"ASUSASUS ROG STRIX G16 G614P Ryzen 9 RTX 5070 Gaming Laptop599,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/asus-rog-strix-g16-g614p-ryzen-9-rtx-5070-gaming-laptop
Lenovo,"LenovoLenovo Ideapad Slim 3-15IRH8 Core i5 Laptop209,000212,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/lenovo-ideapad-slim-3-15irh8-core-i5-laptop
Lenovo,"LenovoLenovo IdeaPad Slim 3 15IRH8 Core i5 13th Laptop198,000+ Add to CartOut Of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/lenovo-ideapad-slim-3-15irh8-core-i5-13th-laptop
Msi,"MSIMSI Vector 16 HX AI A2XWHG Ultra 9 RTX 5070 Ti Gaming Laptop1,041,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/msi-vector-16-hx-ai-a2xwhg-ultra-9-rtx-5070-ti-gaming-laptop
Gigabyte,"GigabyteGIGABYTE GAMING A16 Core i7 16″ 165Hz RTX 4050 6GB386,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-gaming-a16-core-i7-16-165hz-rtx-4050-6gb
Acer,"ACERACER NITRO V15 ANV15 Core 5 RTX 3050 Gaming Laptop300,000+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/acer-nitro-v15-anv15-core-5-rtx-3050-gaming-laptop
Processors,"ProcessorsAMD Ryzen 5 7600 AM5 Processor61,000+ Add to CartIn Stock - System Only",N/A,In Stock,https://www.redlinetech.lk/product/amd-ryzen-5-7600-am5-processor
Processors,"ProcessorsAMD Ryzen 7 7700 Desktop Processor74,500+ Add to CartIn Stock - System Only - (Tray)",N/A,In Stock,https://www.redlinetech.lk/product/amd-ryzen-7-7700-desktop-processor
Processors,"ProcessorsIntel Core Ultra 5 225 Processor62,500+ Add to CartIn Stock - System Only - (Tray)",N/A,In Stock,https://www.redlinetech.lk/product/intel-core-ultra-5-225-processor
Processors,"ProcessorsIntel Core I7-12700 12th Gen Desktop Processor117,000+ Add to CartIn Stock - System Only - (Tray)",N/A,Out of Stock,https://www.redlinetech.lk/product/intel-core-i7-12700-12th-gen-desktop-processor
Processors,"ProcessorsAMD Ryzen 5 5600X 3.7 GHz 6 Core AM4 Processor51,500+ Add to CartOut of Stock - System Only - (Tray)",N/A,Out of Stock,https://www.redlinetech.lk/product/amd-ryzen-5-5600x-37-ghz-6-core-am4-processor
Motherboards,"MotherboardsGIGABYTE Z890 UD WIFI6E Motherboard110,700+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/gigabyte-z890-ud-wifi6e-motherboard-1
Motherboards,"MotherboardsGigabyte H610M K V2 DDR5 Motherboard31,500+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/gigabyte-h610m-k-v2-ddr5-motherboard
Motherboards,"MotherboardsGigabyte B760M D3HP WIFI6 DDR5 Motherboard60,500+ Add to CartIn Stock",N/A,In Stock,https://www.redlinetech.lk/product/gigabyte-b760m-d3hp-wifi6-ddr5-motherboard
Motherboards,"MotherboardsGigabyte B840M EAGLE WIFI6 Motherboard52,500+ Add to CartIn Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-b840m-eagle-wifi6-motherboard
Motherboards,"MotherboardsGigabyte B450M DS3H V3 Motherboard35,000+ Add to CartOut of Stock",N/A,Out of Stock,https://www.redlinetech.lk/product/gigabyte-b450m-ds3h-v3-motherboard
