Source_Store,Category,Title,Price,Stock,URL
Techzone,GPU,ASUS DUAL GEFORCE RTX 5060 TI 16GB GDDR7 GRAPHICS CARD,"රු280,000",In Stock,https://techzone.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7-graphics-card/
Techzone,GPU,ASUS GEFORCE GT730-4H-SL-2GD5 2GB GRAPHICS CARD WITH 4 HDMI,"රු36,000",In Stock,https://techzone.lk/product/asus-geforce-gt730-4h-sl-2gd5-2gb-graphics-card-with-4-hdmi/
Techzone,GPU,MSI GEFORCE GT 1030 2GB AERO ITX GDDR4 GRAPHICS CARD,"රු36,500",In Stock,https://techzone.lk/product/msi-geforce-gt-1030-2gb-aero-itx-gddr5-graphics-card/
Techzone,GPU,MSI GEFORCE GT 710 2GB GDDR3 LOW PROFILE GRAPHICS CARD,"රු28,500",In Stock,https://techzone.lk/product/msi-geforce-gt-710-2gb-gddr3-low-profile-graphics-card/
Techzone,GPU,MSI GEFORCE GT 730 4GB GDRR3 GRAPHICS CARD,"රු35,000",In Stock,https://techzone.lk/product/msi-geforce-gt-730-4gb-gdrr3-graphics-card/
Techzone,GPU,MSI GeForce RTX 2060 VENTUS GP OC Graphic Card,"රු130,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-2060-ventus-gp-oc-graphic-card/
Techzone,GPU,MSI GEFORCE RTX 3050 VENTUS 2X OC 6GB GDDR6 GRAPHICS CARD,"රු106,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-3050-ventus-2x-oc-6gb-gddr6-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 3050 VENTUS 2X OC 8GB GDDR6 GRAPHICS CARD,"රු126,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-3050-ventus-2x-oc-8gb-gddr6-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 3080Ti GAMING X Trio 12GB GDDR6X GRAPHICS CARD,"රු435,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-3080ti-gaming-x-trio-12gb-gddr6x-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 5050 SHADOW 2X OC 8GB GDDR7X GRAPHICS CARD,"රු146,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-5050-shadow-2x-oc-8gb-gddr7x-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 5060 SHADOW 2X OC 8GB GDDR7X GRAPHICS CARD,"රු174,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-5060-shadow-2x-oc-8gb-gddr7x-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 5060 Ti SHADOW 2X OC 8GB GDDR7X GRAPHICS CARD,"රු199,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-5060-ti-shadow-2x-oc-8gb-gddr7x-graphics-card/
Techzone,GPU,MSI GEFORCE RTX 5070 SHADOW 2X OC 12GB GDDR7X GRAPHICS CARD,"රු300,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-5070-shadow-2x-oc-12gb-gddr7x-graphics-card-2/
Techzone,GPU,MSI GEFORCE RTX 5090 GAMING TRIO 32GB GDDR7X GRAPHICS CARD,"රු1,820,000",In Stock,https://techzone.lk/product/msi-geforce-rtx-5090-gaming-trio-32gb-gddr7x-graphics-card/
Techzone,GPU,MSI RADEON RX6500 XT MECH 2X 4GB GDDR6 GRAPHICS CARD  (Available in Kandy Showroom),"රු112,000",In Stock,https://techzone.lk/product/msi-radeon-rx-6500-xt-mech-2x-4gb-gddr6-graphics-card/
Techzone,GPU,MSI Radeon RX6600 Graphic Card (Available in Kandy Showroom),"රු185,000",In Stock,https://techzone.lk/product/msi-radeon-rx-6600-graphic-card/
