Category,Title,Price,Stock,URL
Laptops,MSI Thin 15 B13UCX i5 13th Gen RTX 2050 4GB,"Rs. 279,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_thin_15_b13ucx_i5_13th_gen_rtx_2050_4gb
Laptops,Asus Vivobook X1504VA Core 5 (Series 1),"Rs. 234,900.00",In Stock,https://www.tulipcom.lk/product/d/asus_vivobook_x1504va_core_5_series_1
Laptops,MSI CYBORG 15 B13W I7 13th Gen  RTX 5050 8GB,"Rs. 399,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_b13w_i7_13th_gen__rtx_5050_8gb
Laptops,MSI CYBORG 15 A13VE i5 13th Gen RTX 4050 6GB,"Rs. 329,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_a13ve_i5_13th_gen_rtx_4050_6gb
Laptops,Asus VivoBook X1502V i7 13th Gen (H),"Rs. 264,900.00",In Stock,https://www.tulipcom.lk/product/d/asus_vivobook_x1502v_i7_13th_gen_h
Laptops,Used HP ProBook 450 G5 i5 8th Gen,"Rs. 92,900.00",In Stock,https://www.tulipcom.lk/product/d/used_hp_probook_450_g5_i5_8th_gen
Laptops,Asus Vivobook A1504V Core 5 (Series 1),"Rs. 209,900.00",In Stock,https://www.tulipcom.lk/product/d/asus_vivobook_a1504v_core_5_series_1
Laptops,Asus VivoBook R1502VA i7 13th Gen (H),"Rs. 284,900.00",In Stock,https://www.tulipcom.lk/product/d/asus_vivobook_r1502va_i7_13th_gen_h
Laptops,MSI Modern 15 F1MG Core 5 (Series 1),"Rs. 214,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_modern_15_f1mg_core_5_series_1
Laptops,Lenovo V15 G5 i5 13th Gen (H),"Rs. 214,900.00",In Stock,https://www.tulipcom.lk/product/d/lenovo_v15_g5_i5_13th_gen_h
Laptops,HP 15-FD0069NX Core 3 (Series 1),"Rs. 185,900.00",In Stock,https://www.tulipcom.lk/product/d/hp_15-fd0069nx_core_3_series_1
Laptops,MSI CYBORG 15 A13VF I7 13th Gen RTX 4060 8GB,"Rs. 339,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_a13vf_i7_13th_gen_rtx_4060_8gb
Laptops,MSI CYBORG 15 A13UDX i5 13th Gen,"Rs. 309,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_a13udx_i5_13th_gen
Laptops,MSI CYBORG 15 A13UC i7 13th Gen RTX 3050 4GB,"Rs. 299,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_a13uc_i7_13th_gen_rtx_3050_4gb
Laptops,MSI CYBORG 15 A13UC i5 13th Gen RTX 3050 4GB,"Rs. 289,900.00",In Stock,https://www.tulipcom.lk/product/d/msi_cyborg_15_a13uc_i5_13th_gen_rtx_3050_4gb
Laptops,Lenovo V15 G4 IRU i3 13th Gen,"Rs. 122,900.00",In Stock,https://www.tulipcom.lk/product/d/lenovo_v15_g4_iru_i3_13th_gen
Laptops,Asus Vivobook A1502ZA i5-8GB-512GB SSD,"Rs. 221,900.00",In Stock,https://www.tulipcom.lk/product/d/asus_vivobook_a1502za_i5-8gb-512gb_ssd
Laptops,HP Victus 15 FA1082WM Gaming I5 13th Gen,"Rs. 269,900.00",In Stock,https://www.tulipcom.lk/product/d/hp_victus_15_fa1082wm_gaming_i5_13th_gen
