Category,Title,Price,Stock,URL
Graphics Card,Asus ROG Astral LC GeForce RTX 5090 32GB GDDR7,"1,569,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7
Graphics Card,ASUS ROG Geforce RTX 5090 Astral 32GB GDDR7,"1,435,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-geforce-rtx-5090-astral-32gb-gddr7
Graphics Card,ASUS TUF Gaming Geforce RTX 5080 16GB GDDR7,"629,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5080-16gb-gddr7
Graphics Card,ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition,"679,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-astral-geforce-rtx-5080-16gb-gddr7-oc-edition
Graphics Card,ASUS Prime GeForce RTX 5070 Ti 16GB OC GDDR7,"464,000 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-ti-16gb-oc-gddr7
Graphics Card,Asus TUF Gaming GeForce RTX 5070 12GB GDDR7 OC,"299,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC,"320,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,Asus PRIME GeForce RTX 5070 12GB GDDR7 OC,"269,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-geforce-rtx-5070-12gb-gddr7-oc
Graphics Card,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,"192,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc
Graphics Card,ASUS TUF Gaming GeForce RTX 5060 Ti 16GB GDDR7,"225,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-ti-16gb-gddr7
Graphics Card,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7,"279,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-16gb-gddr7
Graphics Card,ASUS PRIME RTX 5060 8GB OC,"162,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-rtx-5060-8gb-oc
Graphics Card,ASUS Dual GeForce RTX 5060 8GB OC GDDR7,"175,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-8gb-oc-gddr7
Graphics Card,ASUS TUF Gaming GeForce RTX 5060 8GB GDDR7,"169,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-geforce-rtx-5060-8gb-gddr7
Graphics Card,ASUS PRIME RTX 5050 8GB OC,"144,500 LKR",In Stock,https://www.nanotek.lk/product/asus-prime-rtx-5050-8gb-oc
Graphics Card,ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition,"132,000 LKR",In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5050-8gb-gddr6-oc-edition-1
Graphics Card,ASUS Prime Radeon RX 9060 XT  16GB GDDR6 OC Edition,"189,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-radeon-rx-9060-xt-16gb-gddr6-oc-edition
Graphics Card,ASUS Prime Radeon RX 9070 XT OC Edition 16GB GDDR6,"309,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-prime-radeon-rx-9070-xt-oc-edition-16gb-gddr6
Graphics Card,ASUS TUF Gaming Radeon™ RX 9070 XT OC Edition 16GB GDDR6,"317,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-radeon-rx-9070-xt-oc-edition-16gb-gddr6
Graphics Card,ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6,"89,000 LKR109,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-3050-v2-oc-edition-8gb-gddr6
Graphics Card,MSI GeForce RTX 3060 Ventus 2X OC 12GB GDDR6,"160,000 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-3060-ventus-2x-oc-12gb-gddr6
Graphics Card,ASUS ROG WINGWALL GRAPHICS CARD HOLDER,"26,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-wingwall-graphics-card-holder
Graphics Card,Asus ProArt GeForce RTX 4080 16GB OC Edition GDDR6X,"429,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-proart-geforce-rtx-4080-16gb-oc-edition-gddr6x
Graphics Card,ZOTAC GAMING GeForce RTX 5070 TWIN EDGE OC 12GB,"265,000 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5070-twin-edge-oc-12gb
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Twin Edge OC 8GB,"152,500 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-twin-edge-oc-8gb
Graphics Card,ZOTAC GAMING GEFORCE RTX 5060 TI 16GB TWIN EDGE OC - WHITE,"240,000 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-ti-16gb-twin-edge-oc-white
Graphics Card,SPARKLE Intel Arc B580 TITAN Nox OC 12GB DDR6,"126,000 LKR",Out of Stock,https://www.nanotek.lk/product/sparkle-intel-arc-b580-titan-nox-oc-12gb-ddr6
Graphics Card,ARKTEK GTX 1660 SUPER MATRIX 6GB,"72,000 LKR",Out of Stock,https://www.nanotek.lk/product/arktek-gtx-1660-super-matrix-6gb
Graphics Card,ARKTEK GTX 1650 MATRIX 4GB,"64,000 LKR",Out of Stock,https://www.nanotek.lk/product/arktek-gtx-1650-matrix-4gb
Graphics Card,ARKTEK GTX 1660TI MATRIX 6GB,"76,000 LKR",Out of Stock,https://www.nanotek.lk/product/arktek-gtx-1660ti-matrix-6gb
Graphics Card,ZOTAC GAMING GeForce RTX 5050 Twin Edge 8GB,"134,500 LKR",In Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5050-twin-edge-8gb
Graphics Card,ARKTEK GTX 750TI CYCLOPS 4GB,"36,000 LKR",Out of Stock,https://www.nanotek.lk/product/arktek-gtx-750ti-cyclops-4gb
Graphics Card,ANTEC RGB GPU HOLDER,"7,500 LKR",Out of Stock,https://www.nanotek.lk/product/antec-rgb-gpu-holder
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Ti 8GB Twin Edge,"189,000 LKR",In Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-ti-8gb-twin-edge
Graphics Card,MSI GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS,"209,000 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-ti-8g-shadow-2x-oc-plus
Graphics Card,MSI GeForce RTX 5050 8G VENTUS 2X OC,"146,000 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5050-8g-ventus-2x-oc
Graphics Card,MSI GeForce RTX 5050 8GB SHADOW 2X OC,"139,500 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5050-8gb-shadow-2x-oc
Graphics Card,MSI GeForce RTX 5090 32G GAMING TRIO OC,"1,696,000 LKR",Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5090-32g-gaming-trio-oc
Graphics Card,MSI GeForce RTX 5060 8G VENTUS 2X OC,"152,000 LKR",Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-8g-ventus-2x-oc
Graphics Card,MSI RTX 5060 TI VENTUS 2X OC PLUS 8GB,"217,000 LKR",In Stock,https://www.nanotek.lk/product/msi-rtx-5060-ti-ventus-2x-oc-plus-8gb
Graphics Card,MSI GeForce RTX 5060  GAMING OC 8GB,"165,000 LKR",Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-gaming-oc-8gb
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Twin Edge 8GB,"149,500 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-twin-edge-8gb
Graphics Card,MSI GeForce RTX 5060 8G SHADOW 2X OC,"166,500 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-8g-shadow-2x-oc
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Ti 16GB Twin Edge OC,"240,000 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-ti-16gb-twin-edge-oc
Graphics Card,MSI RTX 3050 VENTUS 2X E OC 6GB,"103,000 LKR",In Stock,https://www.nanotek.lk/product/msi-rtx-3050-ventus-2x-e-oc-6gb
Graphics Card,MSI GeForce RTX 5070 12G VENTUS 2X OC,"310,000 LKR",In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5070-12g-ventus-2x-oc
Graphics Card,ZOTAC GAMING GeForce RTX 5070 Ti SOLID SFF OC 16GB,"429,000 LKR",Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5070-ti-solid-sff-oc-16gb
